,Month,mean_temp-MEAN,mean_temp-MEDIAN,mean_temp-VARIANCE,mean_temp-MIN,mean_temp-MAX,min_temp-MEAN,min_temp-MEDIAN,min_temp-VARIANCE,min_temp-MIN,min_temp-MAX,max_temp-MEAN,max_temp-MEDIAN,max_temp-VARIANCE,max_temp-MIN,max_temp-MAX,precip-MEAN,precip-MEDIAN,precip-VARIANCE,precip-MIN,precip-MAX
378,7-1981,75.61,76.0,73.2,37.1,107.6,65.12,66.0,89.59,21.2,99.0,86.49,87.1,91.71,45.0,117.9,0.07,0.0,0.09,0.0,11.14
379,8-1981,73.84,73.5,61.38,37.1,109.4,63.3,63.9,81.04,25.2,93.0,84.78,84.9,81.7,46.4,129.2,0.07,0.0,0.09,0.0,13.39
380,9-1981,67.09,67.4,94.53,15.7,108.9,56.38,55.9,114.63,12.2,96.1,78.64,80.1,119.59,19.0,129.2,0.05,0.0,0.06,0.0,10.79
381,10-1981,55.38,54.6,131.68,17.1,89.8,45.86,45.0,152.54,5.2,84.9,66.41,66.0,154.48,23.0,98.1,0.07,0.0,0.07,0.0,6.89
382,11-1981,47.98,47.7,142.21,-1.2,89.9,38.68,37.9,145.76,-12.1,82.4,58.76,60.1,188.37,9.1,92.8,0.04,0.0,0.03,0.0,5.04
383,12-1981,37.48,36.5,201.45,-20.1,86.7,29.61,30.0,206.45,-27.0,75.9,46.52,45.0,249.76,-9.0,90.0,0.05,0.0,0.04,0.0,6.26
384,1-1982,30.13,30.8,379.95,-31.7,89.7,21.17,22.1,399.24,-45.0,80.6,40.79,39.9,406.52,-26.9,109.4,0.07,0.0,0.07,0.0,5.75
385,2-1982,36.55,37.0,317.87,-29.9,89.7,27.84,30.0,337.84,-47.7,75.9,46.72,46.0,348.66,-14.8,113.0,0.06,0.0,0.07,0.0,9.07
386,3-1982,45.24,44.4,218.04,-14.8,88.9,36.13,35.1,228.18,-30.1,79.0,55.64,55.0,254.45,-5.8,96.8,0.06,0.0,0.05,0.0,11.87
387,4-1982,52.09,52.9,184.33,-10.7,89.9,41.45,41.0,191.55,-17.0,80.6,63.25,64.9,216.96,-2.0,104.0,0.06,0.0,0.08,0.0,19.02
388,5-1982,63.82,64.2,99.83,24.4,96.8,53.15,53.1,116.43,5.0,88.0,74.7,75.9,118.3,32.0,107.1,0.07,0.0,0.08,0.0,11.9
389,6-1982,68.53,68.0,95.2,34.2,102.3,58.2,57.9,105.63,21.2,96.1,79.06,79.9,114.86,37.9,118.9,0.09,0.0,0.11,0.0,10.93
390,7-1982,75.29,76.2,67.57,14.0,106.1,64.61,65.8,84.18,3.0,102.0,86.04,87.1,78.74,20.1,114.4,0.08,0.0,0.11,0.0,12.01
391,8-1982,73.51,73.9,76.92,25.2,105.2,63.18,63.9,93.19,21.9,100.0,84.43,84.9,92.87,33.1,115.0,0.06,0.0,0.08,0.0,9.56
392,9-1982,66.79,66.9,108.1,29.4,104.2,56.85,56.8,120.21,23.0,96.1,77.73,78.1,130.88,31.1,129.2,0.06,0.0,0.07,0.0,13.39
393,10-1982,57.11,56.5,131.19,13.2,89.5,46.94,46.0,156.7,-0.8,82.0,68.44,69.1,145.13,15.3,99.0,0.05,0.0,0.04,0.0,5.71
394,11-1982,46.37,46.1,198.59,-6.9,88.7,37.94,37.0,222.64,-28.1,78.1,56.03,55.9,213.19,3.2,104.0,0.07,0.0,0.07,0.0,10.08
395,12-1982,40.83,40.1,233.73,-15.1,88.9,33.12,32.9,253.68,-29.7,78.1,49.93,50.0,247.76,-4.9,114.8,0.08,0.0,0.1,0.0,11.81
396,1-1983,36.47,35.9,168.02,-15.0,78.9,28.76,29.1,178.49,-29.0,75.9,45.47,44.1,199.32,-6.0,89.1,0.05,0.0,0.05,0.0,8.94
397,2-1983,39.85,39.7,170.34,-12.3,74.3,31.73,32.0,179.13,-27.0,71.1,49.17,48.9,202.09,-5.8,97.0,0.07,0.0,0.08,0.0,11.1
398,3-1983,45.7,45.4,148.27,-4.8,83.3,37.51,37.0,142.29,-16.1,75.9,55.12,55.0,194.4,3.2,100.0,0.09,0.0,0.08,0.0,5.59
