,Month,mean_temp-MEAN,mean_temp-MEDIAN,mean_temp-VARIANCE,mean_temp-MIN,mean_temp-MAX,min_temp-MEAN,min_temp-MEDIAN,min_temp-VARIANCE,min_temp-MIN,min_temp-MAX,max_temp-MEAN,max_temp-MEDIAN,max_temp-VARIANCE,max_temp-MIN,max_temp-MAX,precip-MEAN,precip-MEDIAN,precip-VARIANCE,precip-MIN,precip-MAX
476,9-1989,66.83,66.7,110.88,17.9,102.6,55.88,55.9,147.97,11.1,89.1,78.54,79.0,119.26,23.0,114.1,0.07,0.0,0.09,0.0,5.83
477,10-1989,57.5,57.9,142.96,14.6,89.6,46.46,46.0,159.42,-2.2,82.0,69.82,71.1,172.58,20.1,108.0,0.05,0.0,0.06,0.0,8.63
478,11-1989,46.68,46.5,211.11,-7.7,83.6,36.78,36.0,220.72,-17.0,79.0,58.03,57.9,246.97,-0.9,96.1,0.05,0.0,0.05,0.0,10.0
479,12-1989,30.74,31.2,317.96,-34.6,79.4,21.46,22.1,316.95,-47.2,75.9,41.63,41.0,374.94,-24.0,97.9,0.03,0.0,0.03,0.0,5.63
480,1-1990,40.55,39.5,178.63,-17.3,78.3,31.52,31.1,196.63,-25.2,75.9,51.04,50.0,211.29,-11.9,90.0,0.06,0.0,0.06,0.0,5.63
481,2-1990,40.67,40.5,258.72,-17.8,79.9,31.07,30.9,281.21,-33.9,77.0,51.75,52.0,277.41,-9.8,97.0,0.07,0.0,0.07,0.0,7.44
482,3-1990,47.69,47.4,200.33,-18.8,85.4,37.91,37.0,212.01,-24.9,80.1,58.79,59.0,225.58,-16.8,100.0,0.06,0.0,0.08,0.0,10.63
483,4-1990,55.39,55.6,162.04,5.2,89.3,44.7,45.0,165.58,0.1,84.9,67.03,68.0,189.54,11.1,105.1,0.06,0.0,0.05,0.0,4.27
484,5-1990,61.89,61.1,119.89,20.8,94.5,51.47,51.1,136.42,5.2,84.0,72.76,73.0,136.69,27.0,106.0,0.09,0.0,0.09,0.0,6.3
485,6-1990,72.59,73.1,108.63,26.2,109.8,61.13,61.9,114.93,20.1,97.0,83.86,84.9,127.58,36.0,123.1,0.06,0.0,0.05,0.0,7.05
486,7-1990,75.36,75.7,68.98,36.1,107.8,64.63,64.9,82.1,31.1,100.9,86.39,87.1,88.5,43.0,118.0,0.07,0.0,0.08,0.0,10.63
487,8-1990,74.42,74.3,67.04,41.7,104.9,63.6,64.0,81.69,28.9,96.1,85.53,86.0,88.22,51.1,118.0,0.07,0.0,0.07,0.0,5.81
488,9-1990,69.29,69.6,101.99,20.9,104.3,58.31,57.9,122.85,16.0,95.0,81.09,82.0,123.37,25.0,118.9,0.05,0.0,0.05,0.0,10.28
489,10-1990,57.97,57.5,147.03,7.7,91.2,46.86,46.0,174.59,1.9,88.0,70.34,71.1,162.88,14.2,105.1,0.07,0.0,0.1,0.0,12.17
490,11-1990,48.95,48.9,172.37,-2.1,85.0,38.81,37.9,176.55,-15.9,82.9,60.51,62.1,208.68,8.2,96.1,0.05,0.0,0.05,0.0,5.63
491,12-1990,36.69,38.2,350.41,-35.5,82.9,27.47,29.1,365.68,-50.3,77.0,47.42,48.9,371.08,-24.9,99.0,0.06,0.0,0.06,0.0,7.28
492,1-1991,33.93,34.2,277.93,-23.7,79.3,25.63,26.2,314.13,-36.0,75.9,43.59,43.9,285.28,-16.8,88.0,0.07,0.0,0.08,0.0,8.11
493,2-1991,42.45,42.5,204.61,-19.0,78.5,32.47,32.0,219.51,-29.0,75.0,53.94,55.0,233.8,-7.8,93.0,0.04,0.0,0.04,0.0,6.1
494,3-1991,46.82,45.8,185.32,-7.9,89.3,37.23,36.0,192.26,-20.0,84.0,57.77,57.0,218.24,0.1,102.9,0.08,0.0,0.09,0.0,10.16
495,4-1991,56.07,56.1,148.42,8.2,88.2,45.78,45.0,162.33,-6.2,82.9,67.05,68.0,177.17,17.1,105.1,0.08,0.0,0.1,0.0,10.42
496,5-1991,65.31,66.9,138.16,22.0,99.8,55.2,55.0,158.06,5.2,95.0,76.04,79.0,150.77,24.3,108.0,0.08,0.0,0.09,0.0,7.8
497,6-1991,71.69,72.7,87.9,21.2,100.5,60.86,61.9,104.31,18.1,96.1,82.53,84.0,101.2,27.1,109.9,0.07,0.0,0.07,0.0,6.5
498,7-1991,75.79,76.5,69.44,21.2,106.0,64.79,64.9,84.43,18.1,99.0,86.99,88.0,88.61,24.3,120.0,0.07,0.0,0.07,0.0,5.34
499,8-1991,74.74,75.3,58.85,21.2,109.4,63.88,64.0,74.66,18.1,99.0,86.14,87.1,77.34,27.1,120.0,0.07,0.0,0.08,0.0,5.9
500,9-1991,67.22,67.6,119.73,19.0,101.9,56.45,57.0,152.78,12.9,93.9,79.08,80.1,132.75,25.0,114.1,0.06,0.0,0.06,0.0,6.97
501,10-1991,57.85,59.0,181.78,-7.5,90.0,46.83,46.9,188.17,-23.3,82.9,70.22,72.0,227.48,6.3,111.0,0.05,0.0,0.06,0.0,7.17
502,11-1991,43.89,43.5,216.25,-13.0,82.9,35.33,35.1,219.15,-28.1,80.1,54.04,54.0,256.21,-3.8,100.9,0.05,0.0,0.04,0.0,5.39
503,12-1991,39.44,38.7,222.51,-16.6,83.5,31.26,30.9,245.08,-29.0,78.1,49.0,48.0,241.79,-13.0,104.0,0.06,0.0,0.06,0.0,6.85
504,1-1992,36.85,37.0,202.53,-26.4,89.1,28.51,30.0,227.71,-34.1,80.6,46.61,46.9,222.0,-18.9,107.6,0.05,0.0,0.05,0.0,5.94
505,2-1992,41.99,41.3,196.72,-13.8,87.3,33.35,33.1,204.71,-29.9,80.6,52.23,53.1,232.37,-0.8,102.2,0.06,0.0,0.07,0.0,17.95
506,3-1992,46.57,46.8,181.58,-17.8,88.2,36.82,36.0,191.69,-33.0,75.9,57.54,59.0,221.05,-8.9,107.6,0.06,0.0,0.05,0.0,10.43
507,4-1992,54.79,55.1,161.05,-0.8,90.0,44.26,44.1,152.38,-8.0,84.2,66.16,68.0,204.03,9.0,107.1,0.05,0.0,0.04,0.0,5.6
508,5-1992,63.48,64.2,98.17,16.6,109.4,52.06,52.0,111.22,0.1,100.4,75.22,77.0,123.9,25.0,129.2,0.05,0.0,0.04,0.0,4.02
509,6-1992,69.72,69.8,88.68,5.5,108.2,58.98,59.0,99.38,0.9,99.9,80.62,81.0,105.61,7.0,129.2,0.08,0.0,0.09,0.0,6.85
510,7-1992,72.9,73.3,97.95,1.7,108.4,62.71,63.0,104.92,0.9,102.9,83.88,84.9,111.39,2.8,117.9,0.09,0.0,0.13,0.0,13.82
511,8-1992,71.38,71.7,90.58,1.1,108.4,60.61,61.0,103.06,0.0,100.9,82.98,83.8,107.68,1.9,131.0,0.08,0.0,0.14,0.0,13.9
512,9-1992,66.55,67.0,119.81,1.8,98.9,55.77,55.9,151.05,0.0,88.0,78.59,79.0,122.68,2.8,111.9,0.07,0.0,0.14,0.0,19.02
513,10-1992,56.6,57.1,142.53,4.3,89.8,45.58,45.0,147.73,0.9,84.9,69.04,70.9,180.27,5.9,106.9,0.05,0.0,0.04,0.0,7.76
514,11-1992,44.32,43.2,195.99,-11.8,85.6,36.53,34.9,197.12,-25.1,81.0,53.47,52.9,240.51,-1.1,97.0,0.09,0.0,0.08,0.0,7.92
515,12-1992,36.26,36.0,244.85,-30.8,78.7,28.41,29.8,271.47,-42.2,77.0,45.41,43.9,256.14,-22.0,86.0,0.07,0.0,0.05,0.0,5.43
516,1-1993,34.14,34.2,291.84,-31.5,79.5,26.3,27.9,323.91,-46.1,77.0,43.46,42.1,304.57,-25.1,88.0,0.08,0.0,0.06,0.0,7.46
517,2-1993,33.66,33.5,301.34,-23.0,78.8,24.89,25.9,327.99,-38.0,73.9,44.04,43.0,317.49,-9.0,95.0,0.06,0.0,0.04,0.0,5.56
518,3-1993,43.55,43.2,223.89,-18.4,81.9,34.28,34.0,233.04,-25.1,77.9,54.21,54.9,256.02,-9.0,97.9,0.08,0.0,0.06,0.0,5.08
519,4-1993,52.44,52.2,136.96,0.0,89.7,41.98,41.9,132.69,0.0,81.0,63.89,64.0,165.99,5.9,104.0,0.08,0.0,0.06,0.0,6.81
520,5-1993,63.07,63.7,98.93,3.9,99.4,52.09,52.0,108.58,-1.1,93.9,74.7,75.9,112.97,5.9,108.0,0.07,0.0,0.06,0.0,7.65
521,6-1993,69.56,70.8,119.73,2.4,108.9,58.89,59.0,126.66,0.0,101.8,80.78,82.9,132.86,5.0,119.8,0.1,0.0,0.09,0.0,7.01
522,7-1993,74.18,75.1,105.34,1.4,104.8,63.83,64.9,115.64,0.0,97.0,85.15,86.9,111.63,3.9,115.9,0.09,0.0,0.08,0.0,6.42
523,8-1993,73.65,74.2,97.45,2.4,108.6,63.01,63.9,107.68,-2.0,97.9,85.29,86.0,103.12,2.8,122.0,0.08,0.0,0.07,0.0,5.63
524,9-1993,65.3,65.1,142.06,1.5,105.5,54.44,54.0,162.87,-10.1,104.0,77.57,77.9,156.7,2.8,118.9,0.08,0.0,0.08,0.0,9.94
525,10-1993,55.21,54.9,162.95,0.7,89.9,44.98,44.1,176.05,-18.0,86.9,67.49,68.0,183.84,2.8,106.9,0.06,0.0,0.06,0.0,8.23
526,11-1993,43.14,42.5,208.83,-13.1,83.7,33.69,32.9,222.94,-28.1,81.0,54.24,54.0,231.08,-7.1,100.9,0.05,0.0,0.05,0.0,5.73
527,12-1993,36.75,37.0,222.0,-30.0,78.2,28.44,29.8,230.81,-42.2,74.8,46.5,45.9,253.71,-20.0,93.9,0.05,0.0,0.04,0.0,5.04
528,1-1994,30.81,32.8,390.34,-34.9,87.9,21.9,23.9,405.65,-43.1,81.9,41.56,43.0,421.78,-27.0,100.9,0.06,0.0,0.04,0.0,5.98
529,2-1994,34.61,35.2,362.61,-33.6,81.8,25.03,25.9,385.02,-45.0,77.0,45.65,46.9,387.61,-21.1,90.0,0.05,0.0,0.04,0.0,5.04
530,3-1994,46.33,45.4,197.25,-10.9,85.2,35.8,34.0,193.16,-24.2,79.0,58.29,59.0,242.27,-7.1,97.9,0.07,0.0,0.07,0.0,11.1
531,4-1994,55.27,55.3,172.62,0.0,89.9,44.04,43.9,178.56,-6.2,83.8,67.74,68.9,193.82,3.9,104.9,0.07,0.0,0.06,0.0,10.0
532,5-1994,62.5,62.6,119.63,2.5,98.2,50.93,50.9,127.35,0.0,88.0,74.3,75.9,130.98,3.9,108.0,0.06,0.0,0.05,0.0,4.15
533,6-1994,72.54,73.7,107.19,0.4,109.9,61.22,62.1,123.22,0.0,101.8,84.34,86.0,114.55,1.9,122.9,0.08,0.0,0.08,0.0,7.34
534,7-1994,74.81,75.5,72.26,1.6,108.1,63.89,64.9,86.08,0.0,99.0,86.29,86.9,85.03,2.8,119.8,0.08,0.0,0.09,0.0,8.39
535,8-1994,73.21,73.6,74.91,2.9,109.5,62.07,63.0,89.96,0.0,102.9,84.95,86.0,88.76,3.9,118.9,0.07,0.0,0.08,0.0,8.59
536,9-1994,67.28,67.2,85.83,2.7,102.2,56.16,55.9,112.18,0.0,99.0,79.39,80.1,99.09,5.0,113.9,0.06,0.0,0.07,0.0,7.01
537,10-1994,56.92,56.4,117.35,4.7,89.1,46.8,45.9,149.38,0.0,82.9,68.36,68.0,123.47,7.0,102.9,0.06,0.0,0.1,0.0,12.2
538,11-1994,47.0,46.8,191.34,-16.8,82.5,38.13,37.9,210.66,-27.0,79.9,57.37,57.0,208.86,-5.6,99.9,0.06,0.0,0.06,0.0,6.02
539,12-1994,39.34,39.1,195.68,-28.1,81.0,31.35,30.9,217.16,-33.5,79.0,48.79,48.9,214.78,-22.5,90.0,0.05,0.0,0.04,0.0,5.91
540,1-1995,35.7,35.4,252.78,-37.2,78.5,27.94,28.9,274.32,-41.8,74.8,44.55,43.9,273.68,-25.4,90.9,0.05,0.0,0.15,0.0,18.28
541,2-1995,37.95,38.7,300.38,-32.1,82.8,28.32,28.9,302.7,-38.9,79.0,48.95,50.0,347.19,-28.1,95.0,0.03,0.0,0.1,0.0,15.0
542,3-1995,46.22,46.9,243.29,-35.6,82.3,36.46,36.9,242.84,-49.0,77.0,56.72,57.9,275.44,-21.6,99.0,0.05,0.0,0.15,0.0,12.09
543,4-1995,52.37,51.9,172.34,-24.0,93.2,41.71,41.0,171.49,-36.4,81.9,63.84,63.9,199.5,-8.9,104.0,0.05,0.0,0.14,0.0,14.02
544,5-1995,61.69,60.4,117.56,7.0,95.8,51.48,50.9,129.95,1.9,86.0,72.3,72.0,130.74,9.9,110.8,0.07,0.0,0.25,0.0,17.87
545,6-1995,70.32,71.3,95.84,4.7,106.9,59.37,61.0,103.99,0.9,97.0,81.44,82.9,103.58,5.0,117.9,0.06,0.0,0.1,0.0,12.91
546,7-1995,75.44,76.3,88.5,1.2,109.6,64.17,64.9,97.1,-0.0,102.9,86.97,88.0,95.15,2.8,126.0,0.05,0.0,0.08,0.0,12.13
547,8-1995,75.61,76.7,86.64,5.0,109.3,65.02,66.9,104.58,1.9,101.8,87.26,88.0,84.77,7.0,118.9,0.05,0.0,0.09,0.0,12.11
548,9-1995,66.13,66.8,139.29,3.0,106.5,55.23,55.9,154.7,0.9,99.0,78.3,79.0,145.22,5.0,115.0,0.04,0.0,0.05,0.0,10.08
549,10-1995,57.29,57.4,145.96,-21.9,89.7,46.39,45.9,160.31,-25.1,82.9,69.55,70.9,171.97,-20.0,106.0,0.05,0.0,0.08,0.0,12.01
550,11-1995,43.55,43.1,214.39,-25.1,85.2,34.05,32.9,211.72,-26.1,81.9,54.53,54.9,262.87,-23.1,95.9,0.04,0.0,0.05,0.0,8.66
551,12-1995,35.29,33.6,263.87,-31.4,78.7,26.95,25.9,266.68,-38.9,75.9,44.68,43.0,309.45,-27.0,97.9,0.03,0.0,0.04,0.0,8.9
552,1-1996,31.82,33.0,360.3,-40.0,81.2,22.45,23.9,365.51,-50.1,79.0,42.64,43.0,397.81,-32.8,90.9,0.05,0.0,0.04,0.0,6.85
553,2-1996,36.86,38.5,405.89,-37.8,86.0,27.36,29.8,409.12,-51.2,73.9,48.04,48.9,449.6,-28.1,102.9,0.03,0.0,0.03,0.0,5.04
554,3-1996,40.82,41.4,263.62,-21.9,85.4,30.42,30.9,268.25,-35.1,77.0,52.7,54.0,294.3,-11.9,99.0,0.04,0.0,0.04,0.0,7.01
555,4-1996,52.66,52.7,179.74,3.4,90.0,41.46,41.0,167.35,-5.1,82.9,65.07,66.0,225.06,5.0,108.0,0.04,0.0,0.04,0.0,10.0
556,5-1996,62.58,61.55,167.68,4.2,101.6,52.09,50.9,164.53,0.9,91.9,73.66,73.0,193.85,5.9,113.0,0.04,0.0,0.04,0.0,11.1
557,6-1996,71.24,71.6,98.17,2.4,108.6,60.24,61.0,106.49,0.9,97.9,82.53,83.8,108.18,3.9,118.9,0.05,0.0,0.06,0.0,10.0
558,7-1996,74.89,74.5,73.94,37.1,108.2,64.8,64.4,83.81,21.2,96.8,85.05,84.2,91.07,41.0,122.0,0.08,0.0,0.1,0.0,8.2
559,8-1996,73.73,73.6,57.21,39.8,106.2,63.53,64.4,76.92,28.4,98.6,84.48,84.2,69.02,42.8,118.4,0.06,0.0,0.06,0.0,7.75
560,9-1996,65.94,66.3,102.9,23.5,103.0,56.5,57.0,123.29,8.6,100.4,76.2,77.0,114.74,28.2,111.2,0.08,0.0,0.1,0.0,9.45
561,10-1996,56.41,56.8,142.56,-2.3,89.9,46.7,46.4,154.57,-8.5,86.0,67.32,68.0,165.06,10.9,109.4,0.06,0.0,0.09,0.0,8.11
562,11-1996,42.54,41.3,239.89,-18.9,86.3,34.92,33.8,230.48,-27.4,82.4,51.31,51.8,286.18,-10.3,100.4,0.06,0.0,0.06,0.0,6.66
563,12-1996,37.7,38.1,294.19,-28.1,81.5,30.24,32.0,294.71,-34.6,78.8,46.26,46.4,335.08,-22.9,91.4,0.07,0.0,0.06,0.0,5.78
564,1-1997,33.17,33.6,372.64,-32.9,78.5,25.54,26.6,386.43,-41.8,75.9,42.18,42.8,392.67,-20.9,93.2,0.05,0.0,0.04,0.0,5.19
565,2-1997,38.99,38.0,238.13,-16.2,85.1,31.06,30.2,249.07,-32.8,80.6,47.92,46.4,271.99,-1.7,90.0,0.05,0.0,0.05,0.0,4.45
566,3-1997,46.67,46.7,247.21,-15.2,87.8,36.99,35.6,247.09,-27.4,78.8,57.56,59.0,292.15,-3.6,102.2,0.05,0.0,0.05,0.0,6.87
567,4-1997,51.29,51.6,164.31,-5.2,89.4,41.34,41.0,170.34,-11.0,82.4,61.87,62.6,181.31,6.8,102.2,0.06,0.0,0.06,0.0,7.52
568,5-1997,61.41,60.8,118.21,14.3,102.2,50.9,50.0,132.81,7.0,96.8,72.15,72.0,134.92,23.0,116.6,0.05,0.0,0.05,0.0,7.24
569,6-1997,70.63,70.7,73.17,31.9,103.6,60.51,60.8,87.64,24.8,100.4,80.81,82.0,84.56,41.2,113.0,0.07,0.0,0.07,0.0,8.63
570,7-1997,74.87,75.55,72.86,34.5,106.6,64.53,66.0,88.14,28.0,98.6,85.45,86.0,82.64,37.4,118.4,0.06,0.0,0.07,0.0,8.34
571,8-1997,72.98,72.7,71.27,16.3,106.0,63.07,62.6,81.64,32.0,100.4,83.52,84.2,85.93,37.4,129.2,0.06,0.0,0.06,0.0,13.52
572,9-1997,68.16,67.8,94.79,20.1,107.3,58.22,57.9,112.09,8.6,96.8,79.07,79.0,109.25,28.4,132.8,0.05,0.0,0.06,0.0,8.1
573,10-1997,56.37,55.7,171.69,-10.1,90.0,46.4,46.4,186.55,-18.9,87.8,67.52,68.0,192.53,1.8,116.6,0.05,0.0,0.06,0.0,6.24
574,11-1997,43.53,42.9,178.09,-7.2,89.6,35.51,35.1,185.46,-18.4,82.4,52.46,51.8,209.67,1.0,118.4,0.05,0.0,0.04,0.0,5.91
575,12-1997,37.06,35.5,153.32,-11.9,89.3,29.67,28.9,162.92,-29.9,82.4,45.4,43.0,187.75,-0.4,109.4,0.05,0.0,0.05,0.0,7.89
576,1-1998,37.71,37.3,243.45,-24.3,80.8,30.31,30.2,257.49,-34.6,78.8,46.22,46.4,270.28,-14.8,87.8,0.06,0.0,0.07,0.0,8.33
577,2-1998,41.42,40.5,134.84,-6.8,80.1,33.91,33.8,146.44,-20.2,77.0,50.01,50.0,155.29,3.6,89.6,0.08,0.0,0.09,0.0,5.9
578,3-1998,44.09,43.2,250.15,-13.3,89.1,35.4,34.0,242.21,-31.0,78.8,53.89,53.6,293.18,-2.2,102.4,0.07,0.0,0.07,0.0,11.48
579,4-1998,54.1,53.3,109.4,11.6,89.0,43.33,42.8,125.59,5.9,78.8,65.49,64.9,129.27,14.0,102.2,0.06,0.0,0.05,0.0,4.76
580,5-1998,65.48,64.6,104.68,28.4,94.8,54.53,53.6,119.83,19.0,93.2,76.89,77.0,121.35,31.3,109.4,0.06,0.0,0.04,0.0,6.59
581,6-1998,70.6,70.2,132.03,23.7,107.0,60.33,60.8,140.83,19.4,98.6,81.46,82.0,149.36,26.6,116.8,0.07,0.0,0.08,0.0,7.34
582,7-1998,76.17,76.0,69.54,39.3,109.8,65.44,66.0,82.94,30.2,100.9,87.37,87.8,86.58,42.8,123.1,0.06,0.0,0.07,0.0,5.73
583,8-1998,75.13,75.0,60.65,34.9,109.1,64.35,64.4,86.15,28.4,102.2,86.79,86.0,70.14,47.5,120.4,0.05,0.0,0.06,0.0,10.4
584,9-1998,70.32,71.2,89.65,24.1,104.0,59.28,60.1,120.44,21.2,100.4,82.51,82.9,97.36,27.0,111.9,0.06,0.0,0.13,0.0,11.0
585,10-1998,57.59,56.4,117.91,17.5,91.7,47.55,46.4,147.4,10.0,90.0,68.94,69.1,127.14,19.9,102.2,0.06,0.0,0.1,0.0,16.32
586,11-1998,47.67,46.8,143.74,-3.0,83.0,39.32,37.4,149.03,-11.9,81.0,57.35,57.2,179.06,7.5,95.0,0.06,0.0,0.07,0.0,7.86
587,12-1998,38.86,38.8,289.34,-28.1,85.6,30.03,30.2,299.89,-45.0,84.2,49.1,48.9,315.16,-14.8,93.2,0.05,0.0,0.04,0.0,5.09
588,1-1999,35.8,36.1,323.79,-21.7,78.5,26.88,28.4,323.94,-36.4,77.0,46.11,46.4,375.93,-14.8,91.9,0.08,0.0,0.07,0.0,6.49
589,2-1999,41.32,40.2,195.57,-10.1,81.6,31.9,31.9,201.47,-22.0,75.2,52.06,51.8,236.25,-2.2,93.9,0.05,0.0,0.03,0.0,5.08
590,3-1999,44.37,43.9,163.78,-10.5,81.2,33.99,33.1,161.93,-23.8,77.0,55.97,57.0,209.24,-5.8,99.0,0.05,0.0,0.04,0.0,4.73
591,4-1999,54.36,52.9,147.6,9.6,89.4,43.86,42.8,162.08,-2.9,82.4,66.1,66.0,170.09,15.8,104.0,0.07,0.0,0.05,0.0,6.91
592,5-1999,62.83,63.0,98.48,18.6,98.8,51.47,51.8,115.89,8.6,89.6,74.64,75.2,113.04,28.0,109.9,0.07,0.0,0.06,0.0,5.9
593,6-1999,70.37,71.5,89.8,14.7,107.6,59.9,60.8,115.3,17.6,105.8,81.56,82.9,95.47,28.4,114.8,0.08,0.0,0.09,0.0,10.35
594,7-1999,76.16,77.4,69.1,37.1,105.2,65.25,66.9,94.75,28.4,96.8,87.78,89.6,71.57,45.0,123.8,0.06,0.0,0.06,0.0,7.68
595,8-1999,73.92,73.3,76.88,33.5,105.6,62.82,62.6,90.29,25.0,100.4,86.0,86.0,90.09,39.2,117.7,0.06,0.0,0.06,0.0,10.48
596,9-1999,66.61,66.5,102.81,15.8,105.6,55.04,55.0,137.46,1.4,96.8,79.54,80.6,110.12,23.0,111.2,0.08,0.0,0.14,0.0,12.17
597,10-1999,56.73,56.0,132.04,10.0,90.0,44.68,43.0,162.13,3.2,87.8,70.3,71.1,146.9,15.8,107.8,0.05,0.0,0.07,0.0,7.87
598,11-1999,49.81,49.9,135.78,-6.5,86.9,38.74,37.9,147.6,-13.2,82.4,62.9,64.4,166.96,1.2,100.4,0.04,0.0,0.04,0.0,3.68
599,12-1999,38.4,38.0,198.79,-27.5,79.6,28.64,28.4,208.81,-33.7,73.4,49.59,50.0,228.63,-25.2,91.0,0.05,0.0,0.04,0.0,4.41
600,1-2000,34.78,34.0,288.66,-26.5,83.3,25.41,25.0,298.67,-32.8,75.2,45.65,44.6,322.65,-20.2,93.2,0.05,0.0,0.04,0.0,4.09
601,2-2000,41.33,40.9,225.34,-11.3,82.7,31.34,30.9,238.1,-27.9,78.8,52.88,53.6,264.53,-2.2,93.2,0.06,0.0,0.04,0.0,5.99
602,3-2000,48.43,47.5,159.68,-6.0,86.0,37.51,36.0,165.97,-18.4,78.8,60.77,60.8,185.74,-0.4,99.0,0.06,0.0,0.05,0.0,7.45
603,4-2000,54.2,54.2,131.49,4.9,89.7,42.55,42.1,133.46,-0.8,84.2,67.07,68.0,160.6,11.1,105.6,0.07,0.0,0.06,0.0,5.75
604,5-2000,65.19,64.7,119.97,22.8,104.5,53.62,53.6,136.76,14.0,96.1,77.41,78.1,133.16,28.4,114.3,0.07,0.0,0.07,0.0,7.61
605,6-2000,70.69,71.3,88.95,29.3,108.1,59.64,60.1,111.66,21.9,95.0,82.51,84.0,101.15,33.8,127.4,0.1,0.0,0.1,0.0,9.6
606,7-2000,74.31,73.9,73.31,36.3,107.4,62.89,63.0,86.55,15.8,98.6,86.12,86.0,89.65,39.2,129.2,0.07,0.0,0.07,0.0,5.88
607,8-2000,74.54,74.2,77.79,34.1,108.8,63.18,64.0,91.61,27.0,100.4,86.75,86.0,94.83,40.1,119.5,0.06,0.0,0.05,0.0,7.16
608,9-2000,66.91,67.1,133.74,22.5,103.6,55.3,55.0,162.96,12.2,91.4,80.04,80.6,147.25,28.4,127.9,0.08,0.0,0.11,0.0,9.23
609,10-2000,57.08,57.4,126.35,6.9,90.0,46.33,46.4,150.86,5.0,84.2,69.61,70.3,143.47,8.6,104.5,0.05,0.0,0.06,0.0,12.48
610,11-2000,41.69,41.5,203.37,-18.5,82.4,33.01,32.0,211.57,-40.0,78.8,51.58,51.8,233.56,-2.2,91.9,0.06,0.0,0.06,0.0,6.74
611,12-2000,29.87,29.8,289.29,-22.4,80.1,20.97,21.2,288.0,-34.6,77.0,39.87,39.0,340.08,-13.0,91.4,0.04,0.0,0.03,0.0,13.9
